Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Matches,League
74,Erick Cabaco,uy URU,DF,Levante,24,1995,11,9,808.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.03,0.01,0.04,0.03,0.04,Matches,laLiga
75,Ariday Cabrera,es ESP,"MF,FW",Mallorca,30,1988,2,0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,laLiga
76,Leandro Cabrera,uy URU,DF,Espanyol,28,1991,5,5,450.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.02,0.0,0.02,Matches,laLiga
77,Leandro Cabrera,uy URU,DF,Getafe,28,1991,18,18,1530.0,2.0,0.0,0.0,0.0,3.0,0.0,0.12,0.0,0.12,0.12,0.12,0.9,0.9,0.3,0.05,0.02,0.07,0.05,0.07,Matches,laLiga
78,Fernando Calero,es ESP,DF,Espanyol,23,1995,14,11,976.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,laLiga
79,Jonathan Calleri,ar ARG,FW,Espanyol,25,1993,17,15,1298.0,1.0,3.0,0.0,0.0,1.0,0.0,0.07,0.21,0.28,0.07,0.28,2.9,2.9,2.0,0.2,0.14,0.34,0.2,0.34,Matches,laLiga
80,VÃ­ctor Camarasa,es ESP,MF,AlavÃ©s,25,1994,6,6,530.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.03,0.11,0.13,0.03,0.13,Matches,laLiga
81,Sergio Camello,es ESP,FW,AtlÃ©tico Madrid,18,2001,2,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,Matches,laLiga
82,JosÃ© CampaÃ±a,es ESP,MF,Levante,26,1993,25,25,2216.0,2.0,5.0,0.0,0.0,3.0,1.0,0.08,0.2,0.28,0.08,0.28,2.2,2.2,3.8,0.09,0.15,0.24,0.09,0.24,Matches,laLiga
83,Xisco Campos,es ESP,DF,Mallorca,37,1982,7,3,340.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.0,0.02,0.02,0.02,Matches,laLiga
84,VÃ­ctor Campuzano,es ESP,FW,Espanyol,22,1997,13,7,697.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,0.18,0.0,0.18,0.18,0.18,Matches,laLiga
85,Sergio Canales,es ESP,MF,Betis,28,1991,25,25,2204.0,4.0,4.0,2.0,2.0,4.0,0.0,0.16,0.16,0.33,0.08,0.25,4.2,2.6,3.3,0.17,0.13,0.3,0.11,0.24,Matches,laLiga
86,Ander Capa,es ESP,DF,Athletic Bilbao,27,1992,24,23,2053.0,2.0,4.0,0.0,0.0,9.0,0.0,0.09,0.18,0.26,0.09,0.26,0.6,0.6,2.9,0.03,0.13,0.15,0.03,0.15,Matches,laLiga
87,Marc Cardona,es ESP,FW,Osasuna,24,1995,12,6,515.0,1.0,1.0,0.0,0.0,1.0,0.0,0.17,0.17,0.35,0.17,0.35,1.0,1.0,0.7,0.18,0.12,0.3,0.18,0.30,Matches,laLiga
88,Diego Carlos,br BRA,DF,Sevilla,26,1993,24,24,2145.0,2.0,0.0,0.0,0.0,6.0,0.0,0.08,0.0,0.08,0.08,0.08,1.8,1.8,0.5,0.08,0.02,0.09,0.08,0.09,Matches,laLiga
89,Yannick Carrasco,be BEL,"FW,DF",AtlÃ©tico Madrid,25,1993,3,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,laLiga
90,Daniel CarriÃ§o,pt POR,DF,Sevilla,30,1988,11,10,848.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.03,0.0,0.03,0.03,0.03,Matches,laLiga
91,Guido Carrillo,ar ARG,FW,LeganÃ©s,28,1991,19,9,909.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.1,0.2,2.5,2.5,0.3,0.27,0.03,0.3,0.27,0.30,Matches,laLiga
92,Dani Carvajal,es ESP,DF,Real Madrid,27,1992,21,21,1890.0,1.0,4.0,0.0,0.0,7.0,0.0,0.05,0.19,0.24,0.05,0.24,2.1,2.1,3.4,0.1,0.16,0.26,0.1,0.26,Matches,laLiga
93,William Carvalho,pt POR,MF,Betis,27,1992,9,9,707.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.05,0.09,0.14,0.05,0.14,Matches,laLiga
94,Casemiro,br BRA,MF,Real Madrid,27,1992,23,23,2040.0,3.0,2.0,0.0,0.0,9.0,0.0,0.13,0.09,0.22,0.13,0.22,2.4,2.4,0.2,0.11,0.01,0.12,0.11,0.12,Matches,laLiga
95,Santi Cazorla,es ESP,MF,Villarreal,34,1984,22,19,1673.0,8.0,5.0,6.0,6.0,2.0,0.0,0.43,0.27,0.7,0.11,0.38,6.0,1.5,4.8,0.33,0.26,0.59,0.08,0.34,Matches,laLiga
96,Charles,br BRA,FW,Eibar,35,1984,19,8,822.0,4.0,0.0,0.0,1.0,5.0,0.0,0.44,0.0,0.44,0.44,0.44,2.9,2.2,0.4,0.32,0.04,0.36,0.24,0.28,Matches,laLiga
